,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
487,female,group C,associate's degree,free/reduced,none,60,75,74
187,male,group D,some high school,standard,completed,62,66,68
345,female,group C,high school,standard,none,72,80,75
682,male,group B,high school,standard,none,62,55,54
137,male,group E,high school,standard,none,70,55,56
954,female,group C,some college,standard,none,62,69,69
478,female,group D,master's degree,standard,none,55,64,70
938,male,group D,some college,standard,completed,85,81,85
232,female,group B,bachelor's degree,standard,none,67,86,83
983,female,group A,some college,standard,completed,78,87,91
126,male,group B,some high school,standard,none,72,68,67
431,female,group C,high school,standard,none,61,72,70
358,male,group D,some college,free/reduced,none,59,62,61
976,male,group B,some college,free/reduced,completed,60,62,60
428,male,group A,some high school,free/reduced,none,65,59,53
868,male,group E,associate's degree,free/reduced,completed,78,74,72
558,female,group B,associate's degree,free/reduced,none,53,70,70
31,female,group B,some college,standard,none,63,65,61
116,female,group B,bachelor's degree,free/reduced,none,75,85,82
467,male,group A,high school,free/reduced,completed,72,67,65
97,female,group E,some college,standard,completed,63,72,70
322,female,group C,some college,standard,none,71,81,80
439,male,group D,some high school,standard,completed,89,88,82
128,male,group D,master's degree,standard,none,82,82,74
807,female,group E,high school,free/reduced,none,41,45,40
333,male,group B,associate's degree,standard,none,90,78,81
768,female,group D,some high school,standard,none,68,71,75
637,female,group D,some high school,standard,completed,80,92,88
369,female,group D,some high school,standard,none,73,84,85
360,female,group B,high school,standard,none,58,62,59
644,male,group B,high school,standard,none,70,65,60
849,male,group D,associate's degree,standard,none,80,75,69
29,female,group D,master's degree,standard,none,62,70,75
797,female,group E,associate's degree,free/reduced,none,70,84,81
782,female,group B,high school,free/reduced,completed,76,85,82
548,female,group C,high school,free/reduced,none,62,67,64
947,female,group D,some college,free/reduced,none,49,58,60
619,male,group C,associate's degree,free/reduced,completed,65,73,68
793,male,group E,some high school,standard,completed,89,84,77
269,female,group E,some college,free/reduced,none,71,76,70
399,male,group D,some high school,standard,none,60,59,54
857,female,group C,bachelor's degree,standard,none,65,79,81
216,female,group E,associate's degree,free/reduced,completed,83,86,88
210,male,group D,some high school,free/reduced,completed,80,79,79
406,male,group B,associate's degree,standard,completed,65,65,63
836,male,group E,high school,standard,none,73,64,57
549,male,group C,master's degree,standard,none,79,72,69
667,female,group B,bachelor's degree,free/reduced,none,77,85,87
669,male,group D,associate's degree,standard,completed,81,72,77
806,female,group D,some college,free/reduced,none,64,74,75
729,male,group C,some college,standard,none,53,39,37
79,female,group E,master's degree,standard,none,62,68,68
88,female,group A,some college,standard,none,58,70,67
565,male,group B,associate's degree,standard,none,48,43,45
396,female,group B,high school,free/reduced,none,50,67,63
280,male,group D,high school,standard,none,53,52,42
153,male,group D,bachelor's degree,standard,none,54,49,47
944,female,group B,high school,standard,none,58,68,61
957,female,group D,master's degree,standard,none,92,100,100
582,female,group D,bachelor's degree,free/reduced,none,63,73,78
985,male,group A,high school,standard,none,57,51,54
897,female,group B,some high school,free/reduced,completed,63,78,79
177,female,group C,associate's degree,standard,completed,71,77,77
397,female,group C,associate's degree,standard,none,85,89,95
570,male,group B,some college,standard,completed,71,75,70
834,male,group B,some college,standard,none,58,50,45
779,male,group E,associate's degree,standard,completed,94,85,82
430,male,group C,associate's degree,free/reduced,none,64,66,59
164,female,group E,master's degree,standard,none,81,92,91
321,female,group E,high school,standard,none,75,86,79
583,female,group D,associate's degree,standard,completed,73,75,80
934,male,group C,associate's degree,standard,completed,98,87,90
118,female,group D,some high school,standard,none,51,63,61
52,male,group C,some college,standard,none,53,44,42
774,male,group B,some college,standard,none,66,65,60
49,male,group C,high school,standard,completed,82,84,82
763,female,group B,high school,standard,none,62,62,63
896,male,group B,high school,free/reduced,none,36,29,27
955,male,group E,associate's degree,standard,none,72,57,62
281,male,group D,high school,standard,none,45,48,46
213,male,group C,associate's degree,free/reduced,completed,60,51,56
211,male,group C,some college,free/reduced,none,35,28,27
457,male,group D,associate's degree,free/reduced,none,53,54,48
654,female,group B,some high school,standard,none,73,79,79
238,male,group B,some college,standard,none,54,52,51
987,male,group E,some high school,standard,completed,81,75,76
334,female,group C,bachelor's degree,standard,none,83,93,95
870,male,group B,high school,standard,none,59,58,47
447,male,group C,high school,standard,completed,86,81,80
147,male,group C,associate's degree,free/reduced,none,73,68,66
816,female,group A,bachelor's degree,standard,none,45,59,64
928,male,group E,associate's degree,free/reduced,completed,46,43,44
22,male,group D,some college,standard,none,44,54,53
130,male,group D,master's degree,standard,none,89,84,82
537,female,group D,high school,standard,none,51,66,62
600,female,group D,master's degree,standard,none,54,60,63
609,female,group B,associate's degree,standard,none,58,63,65
15,female,group C,some high school,standard,none,69,75,78
702,male,group A,bachelor's degree,standard,completed,87,84,87
674,female,group D,high school,standard,completed,69,77,78
214,male,group E,high school,standard,completed,87,91,81
41,female,group C,associate's degree,standard,none,58,73,68
165,female,group C,bachelor's degree,standard,completed,96,100,100
241,female,group E,bachelor's degree,standard,none,80,83,83
222,female,group C,some high school,free/reduced,none,55,65,62
821,female,group D,bachelor's degree,free/reduced,none,78,90,93
84,male,group D,high school,free/reduced,none,42,39,34
640,male,group D,high school,standard,none,41,52,51
218,male,group B,high school,free/reduced,none,66,77,70
839,female,group C,associate's degree,standard,none,66,77,73
984,female,group C,some high school,standard,none,74,75,82
980,female,group B,high school,free/reduced,none,8,24,23
90,female,group C,bachelor's degree,standard,none,65,72,74
964,male,group D,some college,standard,none,72,57,58
756,male,group D,some college,standard,none,55,58,52
335,female,group B,some college,free/reduced,none,61,68,66
707,male,group C,some college,standard,none,66,59,52
631,male,group B,high school,standard,none,79,60,65
844,female,group D,some high school,free/reduced,completed,40,65,64
150,male,group A,some high school,standard,completed,62,67,69
139,male,group D,some college,standard,completed,71,61,69
172,female,group D,some college,standard,none,79,86,81
852,female,group E,some college,standard,none,87,85,93
161,female,group E,some college,free/reduced,completed,75,88,85
714,female,group B,some high school,standard,completed,60,70,74
961,female,group D,some high school,free/reduced,none,48,54,53
950,male,group E,high school,standard,none,94,73,71
713,male,group D,master's degree,standard,none,81,81,84
597,male,group A,some high school,standard,none,53,54,48
279,male,group B,bachelor's degree,free/reduced,none,73,56,57
256,female,group C,associate's degree,free/reduced,none,64,73,68
458,female,group E,bachelor's degree,standard,none,100,100,100
588,female,group C,some college,standard,none,54,64,65
266,female,group C,bachelor's degree,standard,none,63,75,81
76,male,group E,some high school,standard,none,30,26,22
434,male,group C,some high school,standard,none,73,66,66
338,female,group B,some high school,free/reduced,none,24,38,27
840,female,group D,high school,free/reduced,none,39,52,46
888,female,group D,some college,free/reduced,none,69,65,74
408,female,group D,high school,free/reduced,completed,52,57,56
692,female,group C,bachelor's degree,free/reduced,completed,66,74,81
660,male,group C,some college,free/reduced,none,74,77,73
778,female,group A,some college,standard,completed,72,79,82
802,female,group E,associate's degree,standard,none,87,94,95
489,male,group A,associate's degree,free/reduced,completed,79,82,82
44,female,group E,associate's degree,free/reduced,none,50,56,54
603,male,group D,high school,free/reduced,none,60,57,51
361,male,group B,some high school,standard,completed,85,84,78
734,female,group E,some college,free/reduced,none,53,58,57
156,female,group E,high school,free/reduced,completed,66,74,78
200,female,group C,associate's degree,standard,completed,67,84,86
486,male,group D,some college,free/reduced,none,61,47,56
690,female,group C,associate's degree,standard,none,49,53,53
730,female,group B,associate's degree,free/reduced,completed,68,77,80
962,female,group E,associate's degree,standard,none,100,100,100
557,male,group C,master's degree,free/reduced,none,61,67,66
303,male,group B,associate's degree,standard,none,80,76,64
243,male,group E,some college,standard,none,59,51,43
898,male,group D,associate's degree,standard,completed,67,54,63
670,female,group C,high school,free/reduced,none,66,76,68
64,female,group D,some high school,standard,none,59,58,59
624,female,group E,bachelor's degree,free/reduced,none,61,58,62
689,male,group E,some college,free/reduced,none,93,90,83
274,male,group B,some college,standard,completed,88,85,76
736,male,group C,associate's degree,standard,none,92,79,84
801,male,group C,some high school,standard,completed,76,80,73
580,female,group D,some high school,standard,none,81,97,96
998,female,group D,some college,standard,completed,68,78,77
505,female,group B,some high school,standard,none,82,82,80
436,male,group D,associate's degree,standard,none,75,68,64
550,male,group C,some high school,free/reduced,none,79,76,65
796,male,group D,high school,standard,none,70,70,70
751,male,group E,some college,standard,none,68,72,65
591,male,group A,some high school,standard,none,71,62,50
185,male,group C,associate's degree,free/reduced,completed,65,67,65
638,male,group E,some college,standard,none,86,76,74
579,female,group D,master's degree,standard,none,53,61,68
288,male,group B,bachelor's degree,free/reduced,none,88,75,76
184,male,group C,some high school,free/reduced,completed,45,52,49
626,male,group B,associate's degree,free/reduced,completed,69,70,63
453,male,group C,some college,free/reduced,none,65,58,49
921,female,group C,high school,free/reduced,none,35,53,46
697,female,group A,bachelor's degree,standard,none,59,72,70
543,female,group D,associate's degree,standard,none,82,95,89
32,female,group E,master's degree,free/reduced,none,56,72,65
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75
884,female,group E,associate's degree,standard,none,51,51,54
739,male,group C,high school,free/reduced,none,61,60,55
403,female,group D,high school,standard,completed,88,99,100
738,male,group D,associate's degree,standard,none,81,71,73
892,female,group A,master's degree,free/reduced,none,50,67,73
787,female,group B,some college,standard,none,19,38,32
652,female,group D,some college,standard,completed,85,86,98
437,male,group D,associate's degree,free/reduced,none,75,66,73
166,male,group C,high school,free/reduced,completed,53,51,51
490,female,group A,associate's degree,free/reduced,none,65,85,76
967,male,group C,some college,standard,none,63,63,60
531,female,group C,some high school,standard,none,47,54,53
910,male,group D,bachelor's degree,free/reduced,none,50,42,48
698,female,group D,associate's degree,standard,completed,57,78,79
659,male,group D,associate's degree,standard,none,90,87,85
949,female,group E,high school,free/reduced,completed,57,75,73
632,female,group B,bachelor's degree,standard,completed,66,74,81
908,female,group C,bachelor's degree,free/reduced,none,67,75,72
864,male,group C,associate's degree,standard,none,97,93,91
411,male,group E,some college,standard,completed,84,83,78
485,male,group C,high school,standard,none,70,74,71
466,female,group D,associate's degree,free/reduced,none,26,31,38
748,female,group C,bachelor's degree,free/reduced,none,50,60,59
278,female,group C,some high school,free/reduced,none,65,86,80
339,female,group D,some high school,free/reduced,completed,35,55,60
541,male,group D,associate's degree,free/reduced,completed,79,82,80
725,male,group E,some college,standard,completed,81,74,71
74,male,group C,some high school,standard,none,49,49,41
615,female,group C,high school,standard,none,60,68,72
263,female,group E,high school,standard,none,99,93,90
17,female,group B,some high school,free/reduced,none,18,32,28
117,female,group D,bachelor's degree,standard,none,78,82,79
459,male,group B,high school,standard,completed,72,65,68
383,female,group E,some high school,free/reduced,none,38,49,45
176,female,group B,high school,free/reduced,completed,46,54,58
656,male,group C,associate's degree,free/reduced,none,77,67,64
400,female,group C,some high school,standard,completed,59,54,67
785,female,group B,some high school,standard,completed,32,51,44
794,female,group B,high school,standard,none,42,52,51
310,female,group B,associate's degree,standard,none,73,76,80
518,female,group D,some high school,standard,completed,66,78,78
703,female,group D,some college,standard,none,63,64,67
163,male,group C,high school,standard,none,52,53,49
313,female,group C,associate's degree,free/reduced,completed,68,67,69
337,male,group C,associate's degree,standard,none,49,51,43
136,male,group B,some high school,standard,completed,51,54,41
80,female,group B,associate's degree,standard,none,47,49,50
78,female,group D,some high school,standard,completed,61,74,72
464,male,group A,bachelor's degree,standard,completed,75,58,62
572,female,group C,some college,standard,none,53,62,56
837,female,group A,high school,standard,completed,75,82,79
455,male,group C,bachelor's degree,free/reduced,none,37,56,47
462,female,group E,some college,standard,none,71,70,76
157,male,group B,some college,free/reduced,none,60,60,60
989,female,group D,some college,free/reduced,completed,67,86,83
673,female,group C,associate's degree,standard,completed,65,84,84
385,female,group E,some college,standard,none,67,76,75
538,male,group E,bachelor's degree,standard,completed,85,66,71
500,female,group D,master's degree,standard,none,74,79,82
89,female,group D,some high school,standard,none,73,86,82
933,male,group C,bachelor's degree,free/reduced,completed,70,75,74
340,male,group C,high school,free/reduced,none,58,61,52
872,male,group B,associate's degree,standard,completed,82,84,78
630,male,group D,some college,standard,none,67,64,70
196,male,group C,some high school,free/reduced,completed,59,69,65
311,male,group B,bachelor's degree,standard,none,66,60,57
189,female,group C,bachelor's degree,standard,none,77,88,87
981,male,group D,some high school,standard,none,81,78,78
680,female,group D,high school,standard,none,67,72,74
296,male,group A,some high school,standard,completed,46,41,43
95,male,group C,associate's degree,free/reduced,completed,78,81,82
925,male,group E,some high school,standard,completed,74,64,60
14,female,group A,master's degree,standard,none,50,53,58
762,male,group D,some high school,standard,completed,78,81,86
822,male,group E,some college,free/reduced,completed,49,52,51
114,female,group E,bachelor's degree,standard,completed,99,100,100
968,female,group E,associate's degree,standard,none,68,76,67
804,female,group C,some college,standard,none,73,76,78
239,male,group C,associate's degree,standard,none,84,80,80
677,female,group C,some high school,standard,completed,70,82,76
188,male,group B,some high school,free/reduced,none,48,52,45
149,male,group E,associate's degree,free/reduced,completed,100,100,93
299,male,group D,associate's degree,free/reduced,none,90,87,75
602,female,group E,some college,standard,none,76,78,80
72,female,group A,associate's degree,free/reduced,none,41,51,48
48,female,group D,associate's degree,free/reduced,completed,57,74,76
300,male,group A,some college,free/reduced,completed,81,78,81
634,male,group D,some high school,standard,none,84,84,80
935,male,group D,some college,free/reduced,none,70,63,58
298,male,group C,high school,free/reduced,completed,40,46,50
854,male,group C,some high school,standard,none,62,64,55
577,female,group B,high school,standard,none,81,91,89
219,male,group B,some high school,standard,completed,61,56,56
494,female,group B,high school,standard,none,54,64,68
920,male,group D,high school,free/reduced,none,69,70,67
704,female,group B,some high school,free/reduced,completed,59,63,64
348,male,group D,high school,free/reduced,none,75,74,66
499,male,group E,some college,standard,none,76,71,72
460,male,group C,bachelor's degree,free/reduced,none,53,58,55
181,female,group C,some college,free/reduced,none,46,64,66
59,female,group C,some high school,free/reduced,none,0,17,10
831,female,group C,bachelor's degree,free/reduced,completed,74,86,89
119,female,group C,some college,standard,none,55,69,65
57,male,group D,associate's degree,standard,none,52,55,49
357,female,group C,some college,free/reduced,completed,42,66,69
701,female,group B,some high school,standard,none,57,67,72
378,female,group A,some high school,standard,none,71,83,77
691,female,group E,associate's degree,free/reduced,none,73,76,78
242,female,group D,high school,standard,none,56,52,55
364,male,group C,some college,standard,none,59,60,58
869,male,group C,associate's degree,free/reduced,none,49,51,51
12,female,group B,high school,standard,none,65,81,73
617,male,group D,bachelor's degree,standard,none,88,78,83
251,female,group D,some college,free/reduced,none,71,83,83
13,male,group A,some college,standard,completed,78,72,70
304,female,group C,associate's degree,standard,completed,74,75,83
696,female,group C,associate's degree,standard,completed,75,82,90
297,male,group E,associate's degree,standard,completed,71,74,68
152,female,group B,associate's degree,standard,completed,59,70,66
627,male,group D,associate's degree,standard,none,61,48,46
2,female,group B,master's degree,standard,none,90,95,93
845,male,group E,master's degree,standard,none,90,85,84
863,female,group C,some college,standard,completed,71,71,80
475,female,group D,bachelor's degree,standard,completed,71,76,83
838,male,group B,associate's degree,free/reduced,completed,58,57,53
859,male,group C,associate's degree,free/reduced,none,87,73,72
328,male,group C,associate's degree,standard,completed,82,75,77
530,female,group C,associate's degree,standard,completed,68,67,73
336,male,group D,some high school,standard,completed,76,70,69
664,male,group D,associate's degree,standard,none,80,63,63
636,female,group B,high school,free/reduced,completed,67,80,81
40,male,group C,associate's degree,free/reduced,none,55,61,54
814,female,group C,high school,standard,none,72,80,83
890,female,group E,some college,standard,completed,86,85,91
46,female,group A,associate's degree,standard,completed,55,65,62
924,male,group D,high school,free/reduced,none,74,70,69
562,male,group C,bachelor's degree,standard,completed,96,90,92
731,male,group A,some high school,free/reduced,none,55,46,43
979,female,group C,associate's degree,standard,none,91,95,94
449,male,group B,associate's degree,standard,none,81,73,72
377,female,group D,master's degree,free/reduced,completed,85,95,100
912,female,group C,bachelor's degree,standard,completed,52,61,66
527,female,group C,high school,free/reduced,none,36,53,43
193,male,group D,some college,standard,completed,77,62,62
639,female,group D,associate's degree,standard,none,76,74,73
657,male,group D,some high school,standard,none,69,66,61
885,female,group C,associate's degree,standard,completed,62,76,80
642,female,group B,some high school,free/reduced,none,72,81,79
853,male,group E,some high school,standard,none,82,67,61
448,male,group B,high school,standard,none,47,46,42
879,female,group D,associate's degree,standard,none,64,76,74
51,male,group E,associate's degree,free/reduced,completed,77,69,68
818,female,group B,high school,free/reduced,none,60,72,68
994,male,group A,high school,standard,none,63,63,62
576,male,group A,some college,standard,completed,61,51,52
719,male,group E,associate's degree,free/reduced,completed,91,73,80
581,female,group E,some high school,standard,none,77,79,80
350,female,group B,bachelor's degree,standard,none,52,65,69
388,female,group D,high school,standard,none,62,64,64
986,female,group C,associate's degree,standard,none,40,59,51
492,female,group C,some college,standard,none,83,83,90
843,male,group B,some college,free/reduced,completed,74,77,76
835,female,group C,high school,standard,completed,60,64,74
353,female,group C,associate's degree,standard,none,46,58,57
91,male,group C,high school,free/reduced,none,27,34,36
666,female,group C,some college,free/reduced,completed,63,73,71
410,female,group D,master's degree,standard,completed,70,71,74
371,female,group C,some college,free/reduced,completed,45,73,70
34,male,group E,some college,standard,none,97,87,82
535,female,group C,bachelor's degree,free/reduced,completed,66,83,83
127,male,group D,some college,standard,completed,65,77,74
440,female,group C,some college,standard,completed,67,81,79
620,female,group C,high school,free/reduced,none,35,61,54
212,female,group C,high school,free/reduced,none,42,62,60
915,female,group E,some college,standard,none,68,70,66
387,female,group C,associate's degree,free/reduced,none,57,78,67
162,male,group B,master's degree,free/reduced,none,49,53,52
481,female,group D,associate's degree,free/reduced,none,52,59,56
700,female,group E,bachelor's degree,standard,completed,79,81,82
65,male,group B,some high school,standard,none,67,64,61
759,male,group B,some college,standard,completed,69,77,77
370,male,group E,some college,standard,none,84,77,71
7,male,group B,some college,free/reduced,none,40,43,39
722,female,group B,some high school,free/reduced,completed,74,90,88
443,female,group B,associate's degree,standard,none,73,83,76
477,male,group D,associate's degree,standard,none,80,68,72
47,female,group C,high school,standard,none,66,71,76
381,male,group C,associate's degree,standard,completed,87,100,95
441,female,group D,high school,standard,none,78,81,80
252,female,group B,some high school,standard,completed,60,70,70
295,male,group B,associate's degree,free/reduced,none,67,62,60
148,female,group D,bachelor's degree,standard,completed,68,75,81
108,female,group B,associate's degree,free/reduced,none,52,76,70
380,female,group B,associate's degree,standard,none,80,86,83
474,female,group B,associate's degree,standard,completed,90,90,91
566,female,group E,bachelor's degree,free/reduced,completed,92,100,100
248,female,group B,high school,standard,none,65,64,62
663,female,group C,high school,standard,none,65,69,67
183,female,group D,associate's degree,standard,none,65,69,70
420,female,group C,associate's degree,free/reduced,completed,82,93,93
830,female,group A,some college,free/reduced,none,61,60,57
878,female,group D,some high school,standard,none,59,72,80
815,male,group B,some high school,standard,completed,94,86,87
672,female,group C,some college,standard,none,69,78,76
425,female,group C,some college,free/reduced,none,62,67,62
260,female,group C,some high school,free/reduced,completed,64,79,77
978,male,group D,high school,standard,completed,55,41,48
26,male,group B,some college,standard,none,69,54,55
658,female,group D,associate's degree,free/reduced,none,43,60,58
783,female,group C,associate's degree,standard,completed,52,59,62
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
230,male,group D,some college,standard,none,76,64,66
927,female,group D,high school,free/reduced,completed,65,61,71
186,male,group E,high school,standard,none,80,76,65
633,female,group C,high school,standard,none,75,88,85
687,male,group D,associate's degree,free/reduced,none,77,78,73
930,male,group C,some college,free/reduced,completed,67,74,70
913,female,group C,bachelor's degree,free/reduced,completed,47,62,66
167,female,group B,master's degree,free/reduced,completed,58,76,78
592,male,group E,bachelor's degree,standard,none,68,68,64
741,female,group A,associate's degree,free/reduced,none,37,57,56
662,female,group D,some college,free/reduced,none,55,71,69
651,female,group A,high school,standard,completed,68,80,76
757,male,group E,bachelor's degree,free/reduced,completed,70,68,72
376,female,group D,some high school,standard,none,80,90,82
27,female,group C,bachelor's degree,standard,none,67,69,75
575,male,group A,associate's degree,free/reduced,completed,40,55,53
717,female,group C,associate's degree,standard,completed,96,96,99
958,female,group D,high school,standard,none,45,63,59
771,male,group D,bachelor's degree,standard,none,75,73,74
331,male,group C,associate's degree,standard,none,47,37,35
948,male,group B,some high school,free/reduced,completed,49,50,52
923,female,group B,associate's degree,free/reduced,none,54,65,65
808,male,group C,high school,standard,none,90,75,69
141,female,group C,some college,free/reduced,none,59,62,64
932,male,group D,associate's degree,free/reduced,completed,61,71,73
267,female,group D,high school,standard,none,69,72,77
744,male,group B,some college,free/reduced,none,55,55,47
501,female,group B,associate's degree,standard,completed,94,87,92
886,female,group E,associate's degree,standard,completed,93,100,95
507,male,group B,bachelor's degree,free/reduced,none,55,59,54
138,female,group C,associate's degree,standard,none,59,66,67
653,female,group A,associate's degree,standard,completed,65,70,74
945,female,group C,associate's degree,standard,none,54,61,58
625,male,group D,some college,standard,completed,100,97,99
761,female,group D,some high school,standard,none,48,58,54
970,female,group D,bachelor's degree,standard,none,89,100,100
365,male,group A,bachelor's degree,free/reduced,completed,49,58,60
63,female,group C,associate's degree,standard,none,69,80,71
11,male,group D,associate's degree,standard,none,40,52,43
45,male,group B,associate's degree,standard,none,65,54,57
28,male,group C,high school,standard,none,70,70,65
450,female,group C,some college,free/reduced,completed,64,85,85
92,male,group C,high school,standard,none,71,79,71
688,male,group A,high school,free/reduced,none,53,58,44
208,female,group B,some college,free/reduced,none,74,81,76
73,male,group C,some high school,free/reduced,none,61,57,56
871,female,group C,some college,standard,completed,70,72,76
319,female,group D,associate's degree,free/reduced,none,56,65,63
753,female,group C,some high school,standard,completed,77,90,85
461,male,group B,some college,free/reduced,none,54,54,45
614,female,group A,associate's degree,standard,none,82,93,93
766,female,group C,high school,standard,completed,58,75,77
427,male,group C,some high school,free/reduced,none,69,71,65
798,male,group E,some college,standard,none,69,60,54
772,female,group B,some high school,free/reduced,completed,52,67,72
686,male,group E,some college,standard,completed,85,75,68
20,male,group D,high school,standard,none,66,69,63
811,male,group A,high school,free/reduced,none,45,47,49
86,female,group C,some college,free/reduced,none,76,83,88
765,female,group B,high school,standard,none,74,72,72
309,female,group D,high school,free/reduced,none,49,57,52
847,male,group D,high school,standard,none,64,54,50
742,female,group C,high school,standard,none,81,84,82
907,female,group D,some college,standard,completed,79,84,91
605,male,group C,some high school,standard,none,75,72,62
846,male,group C,master's degree,standard,completed,91,85,85
720,female,group C,some college,free/reduced,none,62,72,70
514,female,group B,master's degree,free/reduced,completed,77,97,94
325,female,group C,some college,standard,none,82,90,94
324,female,group C,high school,free/reduced,none,41,46,43
359,female,group D,some college,standard,none,80,90,89
747,male,group C,some college,standard,none,69,64,68
926,male,group E,associate's degree,free/reduced,none,64,56,52
432,male,group C,high school,standard,none,61,56,55
221,male,group B,associate's degree,standard,none,87,85,73
87,female,group D,associate's degree,standard,none,71,71,74
611,female,group C,some college,standard,none,58,59,66
224,female,group B,associate's degree,standard,completed,52,66,73
969,female,group B,bachelor's degree,standard,none,75,84,80
546,female,group A,some high school,standard,completed,92,100,97
21,female,group B,some college,free/reduced,completed,65,75,70
649,female,group D,some college,standard,completed,69,79,81
894,female,group E,associate's degree,standard,none,59,62,69
416,male,group C,bachelor's degree,standard,completed,71,74,68
585,female,group C,associate's degree,standard,none,65,76,76
553,male,group D,some college,free/reduced,none,77,62,64
755,female,group E,associate's degree,standard,none,84,95,92
18,male,group C,master's degree,free/reduced,completed,46,42,46
122,female,group C,some college,standard,completed,88,93,93
291,male,group D,some high school,standard,none,86,73,70
417,male,group C,associate's degree,standard,none,74,73,67
917,female,group C,high school,standard,none,44,61,52
178,female,group B,master's degree,free/reduced,completed,52,70,62
523,male,group C,master's degree,free/reduced,none,54,59,50
247,female,group B,high school,standard,completed,58,70,68
257,male,group C,associate's degree,standard,completed,78,77,77
225,female,group E,master's degree,free/reduced,none,45,56,54
306,male,group E,some college,standard,completed,99,87,81
182,female,group E,high school,standard,none,50,50,47
347,female,group C,bachelor's degree,standard,completed,77,94,95
305,male,group A,some college,standard,none,69,67,69
679,male,group D,some college,free/reduced,none,63,61,60
568,male,group B,high school,free/reduced,none,63,48,47
